"Main food description","Categoria","Calorias (kcal)","Proteina (g)","Carbohidrats (g)","Azucares totales
(g)","Fibra  (g)","Grasa (g)","Grasa saturada (g)","Grasa monoinsaturada (g)","Grasa poliinsaturada (g)","Colesterol (mg)","Retinol (mcg)","Vitamin A, RAE (mcg_RAE)","Caroteno, alpha (mcg)","Caroteno, beta (mcg)","Cryptoxanthin, beta (mcg)","Licopeno (mcg)","Luteina + zeaxanthin (mcg)","Tiamina (mg)","Riboflavina (mg)","Niacina (mg)","Vitamin B-6 (mg)","Acido folico(mcg)","Folato (mcg)","Folato, DFE (mcg_DFE)","Folato total (mcg)","Colina (mg)","Vitamina B-12 (mcg)","Vitamin B-12, added
(mcg)","Vitamina C (mg)","Vitamina D (D2 + D3) (mcg)","Vitamina E (alpha-tocopherol) (mg)","Vitamin E, added
(mg)","Vitamina K (phylloquinone) (mcg)","Calcio (mg)","fosforo (mg)","Magnesio (mg)","Hierro
(mg)","Zinc
(mg)","Cobre (mg)","Selenio (mcg)","Potasio (mg)","Sodio (mg)","Cafeina (mg)","Teobromina (mg)","Alcohol (g)","4:0
(g)","6:0
(g)","8:0
(g)","10:0
(g)","12:0
(g)","14:0
(g)","16:0
(g)","18:0
(g)","16:1
(g)","18:1
(g)","20:1
(g)","22:1
(g)","18:2
(g)","18:3
(g)","18:4
(g)","20:4
(g)","20:5 n-3
(g)","22:5 n-3
(g)","22:6 n-3
(g)","Agua
(g)"
"Ceviche","Seafood mixed dishes","62","10.34","3.58","1.36","0.5","0.75","0.157","0.132","0.247","18","16","25","16","99","5","340","51","0.039","0.014","0.307","0.241","0","11","11","11","34.7","1.46","0","16","5","0.74","0","4.1","25","106","21","0.24","0.24","0.033","18.7","286","158","0","0","0","0","0","0","0.003","0.001","0.018","0.09","0.043","0.03","0.09","0.01","0","0.028","0.007","0.004","0.024","0.025","0.032","0.127","84.19"
"Champagne punch","Wine","128","0.16","12.22","10.23","0.1","0.08","0.005","0.006","0.03","0","0","0","0","1","1","0","0","0.024","0.017","0.134","0.055","0","7","7","7","3","0","0","4","0","0.01","0","0.1","8","11","8","0.25","0.1","0.038","0.2","83","4","0","0","11.4","0","0","0","0","0","0","0.003","0.002","0.001","0.006","0","0","0.014","0.016","0","0","0","0","0","75.94"
"Channa Saag","Vegetable dishes","85","4.07","9.54","1.81","3.4","4.17","0.563","1.536","1.727","0","0","336","6","4022","10","0","8618","0.081","0.151","0.665","0.188","0","134","134","134","23.7","0","0","15","0","2.08","0","364","90","75","71","2.81","0.74","0.175","1.6","501","250","0","0","0","0","0","0","0","0","0.01","0.41","0.118","0.017","1.503","0.014","0","1.447","0.279","0","0","0","0","0","80.2"
"Chard, cooked","Other dark green vegetables","44","1.88","3.9","1.15","1.7","2.94","0.806","1.044","0.906","2","11","314","44","3612","0","0","10878","0.038","0.089","0.396","0.116","0","11","11","11","19","0","0","21.9","0","2.28","0","866.5","54","48","84","1.88","0.38","0.186","0.9","395","353","0","0","0","0.03","0.019","0.011","0.024","0.025","0.071","0.43","0.176","0.015","1.02","0.008","0","0.801","0.105","0","0","0","0","0","89.28"
"Chard, raw","Other dark green vegetables","19","1.8","3.74","1.1","1.6","0.2","0.03","0.04","0.07","0","0","306","45","3647","0","0","11000","0.04","0.09","0.4","0.099","0","14","14","14","18","0","0","30","0","1.89","0","830","51","46","81","1.8","0.36","0.179","0.9","379","213","0","0","0","0","0","0","0","0","0","0.03","0","0","0.04","0","0","0.063","0.007","0","0","0","0","0","92.66"
"Cheddar cheese soup, home recipe, canned or ready-to-serve","Soups","66","2.06","8.12","4.3","1.1","2.97","1.814","0.758","0.09","6","64","64","0","3","0","0","1","0.033","0.121","0.211","0.038","0","2","2","2","15.1","0.26","0","0.1","0.5","0.3","0","2.5","80","67","12","0.08","0.29","0.051","2.8","96","369","0","0","0","0.086","0.049","0.029","0.063","0.062","0.299","0.868","0.343","0.077","0.698","0.001","0","0.069","0.026","0","0.001","0","0","0","85.32"
"Cheese as ingredient in sandwiches","Not included in a food category","360","20.76","4.32","2.36","0","28.93","16.589","7.026","1.1","90","261","269","0","86","5","0","13","0.025","0.353","0.097","0.077","0","15","15","15","26.4","1.54","0","0","1.8","0.71","0","2.4","958","604","29","0.48","3.05","0.037","22.6","148","1058","0","0","0","0.596","0.467","0.302","0.714","0.802","2.685","7.574","2.926","0.489","6.457","0.1","0.001","0.943","0.127","0.003","0.039","0.009","0.016","0.002","40.65"
"Cheese ball","Cheese","426","18.09","5.57","1.74","1.5","38.06","14.637","7.934","11.122","71","205","206","0","12","0","0","3","0.13","0.307","0.986","0.196","0","34","34","34","27.4","0.66","0","0.9","0.4","0.68","0","2.1","393","347","51","0.78","2.78","0.36","19.8","198","546","0","0","0","0.432","0.358","0.228","0.548","0.628","2.058","7.204","2.779","0.405","7.644","0.089","0.001","9.113","2.002","0.001","0.044","0.007","0.014","0.001","35.32"
"Cheese dip","Dips, gravies, other sauces","160","3.24","7.66","0.29","0.3","13.02","3.097","5.066","4.339","8","19","20","0","7","0","0","2","0.076","0.087","0.584","0.013","13","4","27","17","3.1","0.09","0","0","0.1","1.23","0","12.3","74","53","6","0.53","0.35","0.023","4.6","24","651","0","0","0","0.086","0.022","0.027","0.05","0.037","0.317","1.701","0.63","0.117","4.866","0.042","0","3.796","0.544","0","0","0","0","0","74.1"
"Cheese dip with chili pepper","Dips, gravies, other sauces","143","3.14","11.14","1.95","0.7","9.51","2.491","2.762","3.643","9","22","33","0","112","30","300","67","0.012","0.065","0.136","0.043","0","6","6","6","7.9","0.25","0","0.4","0","1.86","0","17.6","98","200","8","0.14","0.41","0.004","3.2","105","796","0","0","0","0.053","0.038","0.027","0.069","0.074","0.237","1.325","0.56","0.055","2.632","0.047","0.002","3.315","0.317","0","0.003","0","0.001","0","73.72"
"Cheese enchilada, frozen meal","Other Mexican mixed dishes","176","8.04","19.55","5.06","3","7.61","4.091","1.921","0.681","19","51","63","5","149","0","4487","1","0.073","0.139","0.961","0.139","0","11","11","11","15.9","0.19","0","7","0.1","0.85","0","2.8","176","194","33","0.97","1.13","0.115","7.3","262","695","0","0","0","0.164","0.079","0.066","0.142","0.137","0.679","1.846","0.74","0.151","1.769","0.009","0","0.597","0.091","0","0.006","0.001","0.002","0","60.18"
"Cheese flavored corn snacks","Tortilla, corn, other chips","560","5.85","53.53","3.19","1.4","36.01","5.36","10.052","17.821","7","0","0","0","0","0","0","2","0.16","0.159","4.706","0.079","46","11","89","57","11.6","0.48","0","0","0.1","4.18","0","1.3","56","133","17","2.53","0.4","0.032","8.1","182","942","0","0","0","0.025","0.017","0.022","0.053","0.04","0.14","4.03","0.815","0.059","9.802","0.112","0.005","17.449","0.321","0","0.001","0","0","0","1.57"
"Cheese flavored corn snacks (Cheetos)","Tortilla, corn, other chips","560","5.85","53.53","3.19","1.4","36.01","5.36","10.052","17.821","7","0","0","0","0","0","0","2","0.16","0.159","4.706","0.079","46","11","89","57","11.6","0.48","0","0","0.1","4.18","0","1.3","56","133","17","2.53","0.4","0.032","8.1","182","942","0","0","0","0.025","0.017","0.022","0.053","0.04","0.14","4.03","0.815","0.059","9.802","0.112","0.005","17.449","0.321","0","0.001","0","0","0","1.57"
"Cheese flavored corn snacks, reduced fat","Tortilla, corn, other chips","432","8.5","72.35","7.29","3.6","12.1","2.1","3.5","5.74","1","38","44","30","58","0","0","643","0.54","0.61","7.14","0.71","0","97","97","97","13.7","0.48","0","21.4","0","4.25","0","1.1","357","357","41","1.28","2.14","0.085","9.6","286","842","0","0","0","0","0","0","0","0.001","0.033","1.652","0.414","0.026","3.475","0","0","5.429","0.314","0","0","0","0","0","3"
"Cheese fondue","Dips, gravies, other sauces","276","19.31","1.93","0.53","0","21.2","12.415","5.788","0.966","68","186","188","0","31","1","0","3","0.03","0.204","0.157","0.053","1","6","9","8","10.6","1.09","0","0","0.2","0.3","0","1.4","639","401","27","0.3","2.8","0.032","15.4","85","303","0","0","0","0.578","0.389","0.228","0.507","0.597","2.103","5.719","1.841","0.431","5.236","0.02","0.001","0.801","0.188","0","0.015","0.003","0.006","0","55.05"
"Cheese pastry puffs","Doughnuts, sweet rolls, pastries","264","9.27","13.03","0.25","0.4","19.36","5.851","7.713","4.275","111","199","207","0","89","2","0","133","0.115","0.289","0.895","0.057","17","15","45","33","66","0.29","0","0","1.2","1.7","0","14","122","138","12","1.24","0.98","0.051","19.2","81","557","0","0","0","0.096","0.079","0.052","0.125","0.141","0.468","3.113","1.606","0.134","7.615","0.036","0","3.878","0.331","0","0.056","0.001","0.005","0.015","56.32"
"Cheese quiche, meatless","Turnovers and other grain-based items","364","12.26","13.33","2.25","0.8","29.32","15.84","8.805","2.037","154","262","266","0","43","3","0","121","0.077","0.282","0.746","0.077","10","16","32","26","65.8","0.62","0","0.5","1.1","0.85","0","3.3","271","233","18","1.06","1.62","0.056","17.4","118","366","0","0","0","0.448","0.366","0.228","0.535","0.616","2.061","7.196","3.019","0.519","8.161","0.077","0.002","1.785","0.12","0","0.082","0.006","0.014","0.014","43.1"
"Cheese sandwich, American cheese, on wheat bread, no spread","Cheese sandwiches (single code)","281","13.33","30.36","5.63","3.2","11.83","5.748","2.712","1.329","32","102","111","0","103","10","0","62","0.25","0.301","2.942","0.145","8","41","56","50","27.3","0.63","0","0.1","2.7","0.55","0","4.5","661","414","47","2.24","1.71","0.123","22.9","232","799","0","0","0","0.182","0.151","0.1","0.238","0.285","0.867","2.687","1.06","0.165","2.424","0.025","0.001","1.159","0.127","0.002","0.014","0.004","0.005","0.001","40.29"
"Cheese sandwich, American cheese, on wheat bread, with butter","Cheese sandwiches (single code)","327","11.79","26.74","4.96","2.8","19.42","9.395","5.077","2.641","44","175","187","0","131","8","0","55","0.221","0.268","2.591","0.264","7","37","49","44","25.8","0.56","0","0.1","2.5","1.52","0","9.3","584","367","42","1.98","1.51","0.109","20.2","207","782","0","0","0","0.394","0.278","0.174","0.395","0.445","1.307","4.266","1.903","0.217","4.734","0.038","0.001","2.344","0.257","0.002","0.012","0.004","0.005","0.001","38.16"
"Cheese sandwich, American cheese, on wheat bread, with mayonnaise","Cheese sandwiches (single code)","330","11.84","26.77","5.02","2.8","19.44","6.467","4.418","6.562","33","92","100","0","91","9","0","56","0.221","0.267","2.587","0.129","7","37","50","45","28.1","0.56","0","0.1","2.4","0.88","0","23.6","582","367","42","2","1.52","0.111","20.4","207","779","0","0","0","0.16","0.133","0.088","0.209","0.251","0.769","3.317","1.306","0.156","4.117","0.051","0.003","5.743","0.77","0.002","0.018","0.004","0.005","0.001","38.04"
"Cheese sandwich, American cheese, on white bread, no spread","Cheese sandwiches (single code)","285","12.17","32.58","5.71","1.4","11.61","5.807","2.75","1.508","32","102","111","0","102","9","0","51","0.315","0.316","2.87","0.105","51","22","108","73","23.3","0.63","0","0","2.7","0.48","0","1.4","690","383","30","2.37","1.43","0.084","20.3","190","807","0","0","0","0.184","0.151","0.103","0.239","0.288","0.871","2.719","1.069","0.168","2.473","0.023","0.001","1.318","0.157","0.002","0.014","0.004","0.005","0.001","39.56"
"Cheese sandwich, American cheese, on white bread, with butter","Cheese sandwiches (single code)","331","10.77","28.7","5.03","1.2","19.22","9.447","5.11","2.798","44","175","187","0","131","8","0","44","0.277","0.282","2.527","0.229","44","20","95","64","22.4","0.56","0","0","2.5","1.46","0","6.5","610","339","26","2.08","1.26","0.074","17.9","170","790","0","0","0","0.396","0.279","0.177","0.396","0.447","1.311","4.294","1.91","0.22","4.777","0.036","0.001","2.484","0.284","0.002","0.012","0.004","0.005","0.001","37.52"
"Cheese sandwich, American cheese, on white bread, with mayonnaise","Cheese sandwiches (single code)","333","10.82","28.72","5.09","1.2","19.24","6.519","4.451","6.719","33","92","100","0","91","9","0","46","0.278","0.28","2.524","0.093","44","20","96","65","24.6","0.56","0","0","2.4","0.81","0","20.9","608","339","26","2.11","1.27","0.076","18.1","170","786","0","0","0","0.162","0.133","0.09","0.21","0.253","0.772","3.345","1.314","0.158","4.16","0.049","0.003","5.883","0.796","0.002","0.018","0.004","0.005","0.001","37.4"
"Cheese sandwich, American cheese, on whole wheat bread, no spread","Cheese sandwiches (single code)","281","13.33","30.36","5.63","3.2","11.83","5.748","2.712","1.329","32","102","111","0","103","10","0","62","0.25","0.301","2.942","0.145","8","41","56","50","27.3","0.63","0","0.1","2.7","0.55","0","4.5","661","414","47","2.24","1.71","0.123","22.9","232","799","0","0","0","0.182","0.151","0.1","0.238","0.285","0.867","2.687","1.06","0.165","2.424","0.025","0.001","1.159","0.127","0.002","0.014","0.004","0.005","0.001","40.29"
"Cheese sandwich, American cheese, on whole wheat bread, with butter","Cheese sandwiches (single code)","327","11.79","26.74","4.96","2.8","19.42","9.395","5.077","2.641","44","175","187","0","131","8","0","55","0.221","0.268","2.591","0.264","7","37","49","44","25.8","0.56","0","0.1","2.5","1.52","0","9.3","584","367","42","1.98","1.51","0.109","20.2","207","782","0","0","0","0.394","0.278","0.174","0.395","0.445","1.307","4.266","1.903","0.217","4.734","0.038","0.001","2.344","0.257","0.002","0.012","0.004","0.005","0.001","38.16"
"Cheese sandwich, American cheese, on whole wheat bread, with mayonnaise","Cheese sandwiches (single code)","330","11.84","26.77","5.02","2.8","19.44","6.467","4.418","6.562","33","92","100","0","91","9","0","56","0.221","0.267","2.587","0.129","7","37","50","45","28.1","0.56","0","0.1","2.4","0.88","0","23.6","582","367","42","2","1.52","0.111","20.4","207","779","0","0","0","0.16","0.133","0.088","0.209","0.251","0.769","3.317","1.306","0.156","4.117","0.051","0.003","5.743","0.77","0.002","0.018","0.004","0.005","0.001","38.04"
"Cheese sandwich, Cheddar cheese, on wheat bread, no spread","Cheese sandwiches (single code)","323","16.3","27.72","3.2","3.2","16.34","8.329","3.447","1.407","41","130","130","0","1","0","0","37","0.245","0.307","2.894","0.123","8","43","57","51","19.3","0.44","0","0.1","0.2","0.51","0","4.2","386","286","44","1.92","2.31","0.126","27.9","143","541","0","0","0","0.269","0.224","0.144","0.349","0.402","1.281","3.877","1.536","0.222","3.419","0.035","0","1.307","0.137","0","0.022","0.005","0.007","0","36.8"
"Cheese sandwich, Cheddar cheese, on wheat bread, with butter","Cheese sandwiches (single code)","364","14.4","24.42","2.82","2.8","23.38","11.665","5.723","2.71","52","200","203","0","42","0","0","33","0.217","0.274","2.548","0.244","7","38","50","45","18.9","0.4","0","0.1","0.4","1.49","0","9","342","254","39","1.69","2.04","0.111","24.6","128","556","0","0","0","0.471","0.342","0.213","0.493","0.548","1.671","5.312","2.321","0.268","5.609","0.046","0","2.475","0.267","0","0.02","0.005","0.007","0","35.09"
"Cheese sandwich, Cheddar cheese, on wheat bread, with mayonnaise","Cheese sandwiches (single code)","366","14.45","24.45","2.88","2.8","23.4","8.737","5.064","6.631","41","116","116","0","2","1","0","34","0.217","0.273","2.545","0.109","7","38","51","46","21.1","0.4","0","0.1","0.2","0.85","0","23.4","340","254","39","1.71","2.05","0.113","24.8","128","553","0","0","0","0.236","0.197","0.127","0.307","0.353","1.133","4.364","1.725","0.206","4.992","0.059","0.003","5.874","0.779","0","0.026","0.005","0.007","0.001","34.98"
"Cheese sandwich, Cheddar cheese, on white bread, no spread","Cheese sandwiches (single code)","327","15.14","29.95","3.28","1.4","16.11","8.389","3.485","1.586","41","130","130","0","0","0","0","26","0.31","0.323","2.821","0.083","51","23","109","74","15.4","0.44","0","0","0.2","0.44","0","1.1","415","255","27","2.04","2.03","0.087","25.3","101","550","0","0","0","0.271","0.224","0.147","0.35","0.404","1.285","3.909","1.544","0.225","3.468","0.033","0","1.466","0.167","0","0.022","0.005","0.007","0","36.07"
"Cheese sandwich, Cheddar cheese, on white bread, with butter","Cheese sandwiches (single code)","367","13.38","26.38","2.89","1.2","23.18","11.717","5.757","2.867","52","200","203","0","41","0","0","23","0.273","0.288","2.485","0.209","44","21","96","65","15.4","0.4","0","0","0.4","1.43","0","6.3","368","227","24","1.8","1.79","0.076","22.3","91","564","0","0","0","0.473","0.343","0.216","0.494","0.55","1.675","5.341","2.328","0.27","5.652","0.045","0","2.614","0.293","0","0.02","0.005","0.007","0","34.45"
"Cheese sandwich, Cheddar cheese, on white bread, with mayonnaise","Cheese sandwiches (single code)","369","13.43","26.4","2.95","1.2","23.2","8.789","5.097","6.788","41","116","116","0","1","0","0","24","0.274","0.286","2.481","0.074","44","21","97","66","17.7","0.4","0","0","0.2","0.78","0","20.6","366","227","24","1.82","1.8","0.078","22.5","91","560","0","0","0","0.238","0.197","0.129","0.308","0.355","1.136","4.392","1.732","0.209","5.036","0.058","0.003","6.013","0.806","0","0.026","0.005","0.007","0.001","34.33"
"Cheese sandwich, Cheddar cheese, on whole wheat bread, no spread","Cheese sandwiches (single code)","323","16.3","27.72","3.2","3.2","16.34","8.329","3.447","1.407","41","130","130","0","1","0","0","37","0.245","0.307","2.894","0.123","8","43","57","51","19.3","0.44","0","0.1","0.2","0.51","0","4.2","386","286","44","1.92","2.31","0.126","27.9","143","541","0","0","0","0.269","0.224","0.144","0.349","0.402","1.281","3.877","1.536","0.222","3.419","0.035","0","1.307","0.137","0","0.022","0.005","0.007","0","36.8"
"Cheese sandwich, Cheddar cheese, on whole wheat bread, with butter","Cheese sandwiches (single code)","364","14.4","24.42","2.82","2.8","23.38","11.665","5.723","2.71","52","200","203","0","42","0","0","33","0.217","0.274","2.548","0.244","7","38","50","45","18.9","0.4","0","0.1","0.4","1.49","0","9","342","254","39","1.69","2.04","0.111","24.6","128","556","0","0","0","0.471","0.342","0.213","0.493","0.548","1.671","5.312","2.321","0.268","5.609","0.046","0","2.475","0.267","0","0.02","0.005","0.007","0","35.09"
"Cheese sandwich, Cheddar cheese, on whole wheat bread, with mayonnaise","Cheese sandwiches (single code)","366","14.45","24.45","2.88","2.8","23.4","8.737","5.064","6.631","41","116","116","0","2","1","0","34","0.217","0.273","2.545","0.109","7","38","51","46","21.1","0.4","0","0.1","0.2","0.85","0","23.4","340","254","39","1.71","2.05","0.113","24.8","128","553","0","0","0","0.236","0.197","0.127","0.307","0.353","1.133","4.364","1.725","0.206","4.992","0.059","0.003","5.874","0.779","0","0.026","0.005","0.007","0.001","34.98"
"Cheese sandwich, NFS","Cheese sandwiches (single code)","285","12.17","32.58","5.71","1.4","11.61","5.807","2.75","1.508","32","102","111","0","102","9","0","51","0.315","0.316","2.87","0.105","51","22","108","73","23.3","0.63","0","0","2.7","0.48","0","1.4","690","383","30","2.37","1.43","0.084","20.3","190","807","0","0","0","0.184","0.151","0.103","0.239","0.288","0.871","2.719","1.069","0.168","2.473","0.023","0.001","1.318","0.157","0.002","0.014","0.004","0.005","0.001","39.56"
"Cheese sandwich, reduced fat American cheese, on wheat bread, no spread","Cheese sandwiches (single code)","254","13.95","31.08","6.36","3.2","8.14","4.068","2.084","1.09","22","100","103","0","34","0","0","37","0.262","0.324","2.946","0.127","8","41","56","50","27.4","0.46","0","0.1","2.2","0.32","0","4.3","313","439","47","1.94","1.77","0.125","21.4","247","767","0","0","0","0.189","0.111","0.087","0.142","0.178","0.601","1.876","0.803","0.162","1.796","0.008","0","0.941","0.149","0","0.001","0.001","0","0","43.06"
"Cheese sandwich, reduced fat American cheese, on wheat bread, with butter","Cheese sandwiches (single code)","303","12.34","27.38","5.6","2.8","16.18","7.917","4.525","2.431","35","174","180","0","71","0","0","33","0.231","0.288","2.595","0.248","7","37","49","44","26","0.42","0","0.1","2.1","1.32","0","9.1","278","389","41","1.7","1.56","0.11","18.9","220","754","0","0","0","0.401","0.243","0.163","0.31","0.351","1.074","3.553","1.677","0.215","4.182","0.023","0","2.153","0.277","0","0.001","0.001","0","0","40.6"
"Cheese sandwich, reduced fat American cheese, on white bread, no spread","Cheese sandwiches (single code)","258","12.79","33.31","6.44","1.4","7.92","4.127","2.122","1.269","22","100","103","0","33","0","0","26","0.327","0.339","2.874","0.087","51","22","108","73","23.5","0.46","0","0","2.2","0.24","0","1.2","342","408","29","2.06","1.49","0.085","18.8","205","775","0","0","0","0.192","0.112","0.09","0.143","0.181","0.605","1.908","0.811","0.165","1.846","0.006","0","1.099","0.179","0","0.001","0.001","0","0","42.33"
"Cheese sandwich, reduced fat American cheese, on white bread, with butter","Cheese sandwiches (single code)","306","11.32","29.33","5.67","1.2","15.98","7.97","4.558","2.588","35","174","180","0","70","0","0","23","0.288","0.302","2.531","0.213","44","20","95","64","22.5","0.42","0","0","2.1","1.25","0","6.3","303","361","26","1.81","1.32","0.075","16.6","183","762","0","0","0","0.403","0.244","0.166","0.311","0.353","1.077","3.581","1.684","0.217","4.226","0.022","0","2.292","0.303","0","0.001","0.001","0","0","39.95"
